dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
CS,mlp,random_node,0.5000,10999.0000,58981.8000,0.9210,0.0256,0.8904,0.0213,0.8862,0.0255
CS,mlp,random_degree,0.5000,10999.0000,96085.8000,0.9066,0.0236,0.8699,0.0196,0.8669,0.0259
CS,mlp,random_pagerank,0.5000,10999.0000,85065.8000,0.9093,0.0363,0.8793,0.0280,0.8751,0.0303
CS,mlp,random_edge,0.5000,10999.0000,95519.8000,0.9203,0.0321,0.8824,0.0227,0.8795,0.0331
CS,mlp,random_node_edge,0.5000,10999.0000,76655.6000,0.9190,0.0433,0.8868,0.0302,0.8840,0.0334
CS,mlp,random_hybrid,0.5000,10999.0000,81078.2000,0.9195,0.0415,0.8890,0.0321,0.8885,0.0360
CS,mlp,random_walk,0.5000,10999.0000,90957.4000,0.8994,0.0193,0.8650,0.0198,0.8614,0.0229
CS,mlp,random_jump,0.5000,10999.0000,90957.4000,0.8994,0.0193,0.8650,0.0198,0.8614,0.0229
CS,mlp,random_neigbour,0.5000,10999.0000,97169.0000,0.9140,0.0309,0.8795,0.0229,0.8746,0.0277
CS,mlp,forest_fire,0.5000,10999.0000,102120.0000,0.9408,0.0287,0.8934,0.0154,0.8931,0.0207
CS,mlp,random_node,0.3000,8066.0000,31748.2000,0.9204,0.0211,0.8787,0.0162,0.8727,0.0223
CS,mlp,random_degree,0.3000,8066.0000,56896.4000,0.9095,0.0272,0.8577,0.0176,0.8574,0.0241
CS,mlp,random_pagerank,0.3000,8066.0000,48436.4000,0.9069,0.0276,0.8668,0.0211,0.8626,0.0175
CS,mlp,random_edge,0.3000,8066.0000,53487.2000,0.9102,0.0288,0.8633,0.0247,0.8572,0.0288
CS,mlp,random_node_edge,0.3000,8066.0000,43408.8000,0.9002,0.0379,0.8630,0.0318,0.8583,0.0315
CS,mlp,random_hybrid,0.3000,8066.0000,46365.2000,0.9131,0.0316,0.8693,0.0240,0.8688,0.0254
CS,mlp,random_walk,0.3000,8066.0000,54463.8000,0.9021,0.0285,0.8569,0.0256,0.8566,0.0259
CS,mlp,random_jump,0.3000,8066.0000,54463.8000,0.9021,0.0285,0.8569,0.0256,0.8566,0.0259
CS,mlp,random_neigbour,0.3000,8066.0000,60534.8000,0.9292,0.0231,0.8765,0.0187,0.8708,0.0223
CS,mlp,forest_fire,0.3000,8066.0000,65871.0000,0.9156,0.0187,0.8460,0.0210,0.8423,0.0180
