dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
CiteSeer,mlp,random_node,0.5000,1994.0000,3330.6000,0.9325,0.0449,0.6523,0.0344,0.6421,0.0325
CiteSeer,mlp,random_degree,0.5000,1994.0000,5210.4000,0.9392,0.0216,0.6417,0.0288,0.6436,0.0284
CiteSeer,mlp,random_pagerank,0.5000,1994.0000,4316.4000,0.9391,0.0331,0.6534,0.0261,0.6429,0.0207
CiteSeer,mlp,random_edge,0.5000,1994.0000,5280.2000,0.9336,0.0382,0.6423,0.0219,0.6300,0.0317
CiteSeer,mlp,random_node_edge,0.5000,1994.0000,4393.2000,0.9456,0.0367,0.6544,0.0218,0.6473,0.0237
CiteSeer,mlp,random_hybrid,0.5000,1994.0000,4668.0000,0.9469,0.0308,0.6561,0.0155,0.6509,0.0343
CiteSeer,mlp,random_walk,0.5000,1994.0000,5236.8000,0.9518,0.0331,0.6438,0.0219,0.6367,0.0309
CiteSeer,mlp,random_jump,0.5000,1994.0000,5236.8000,0.9518,0.0331,0.6438,0.0219,0.6367,0.0309
CiteSeer,mlp,random_neigbour,0.5000,1994.0000,5301.0000,0.9434,0.0297,0.6471,0.0226,0.6463,0.0249
CiteSeer,mlp,forest_fire,0.5000,1994.0000,6247.0000,0.9424,0.0249,0.6197,0.0217,0.6230,0.0229
CiteSeer,mlp,random_node,0.3000,1462.0000,1812.6000,0.9519,0.0327,0.6030,0.0412,0.6021,0.0396
CiteSeer,mlp,random_degree,0.3000,1462.0000,3193.4000,0.9545,0.0401,0.5941,0.0356,0.5939,0.0346
CiteSeer,mlp,random_pagerank,0.3000,1462.0000,2400.2000,0.9618,0.0300,0.6040,0.0324,0.5906,0.0396
CiteSeer,mlp,random_edge,0.3000,1462.0000,3154.2000,0.9731,0.0172,0.6035,0.0220,0.5945,0.0247
CiteSeer,mlp,random_node_edge,0.3000,1462.0000,2648.8000,0.9692,0.0226,0.5881,0.0390,0.5857,0.0365
CiteSeer,mlp,random_hybrid,0.3000,1462.0000,2831.6000,0.9428,0.0496,0.5891,0.0284,0.5984,0.0257
CiteSeer,mlp,random_walk,0.3000,1462.0000,3312.6000,0.9553,0.0238,0.5821,0.0351,0.5772,0.0266
CiteSeer,mlp,random_jump,0.3000,1462.0000,3312.6000,0.9553,0.0238,0.5821,0.0351,0.5772,0.0266
CiteSeer,mlp,random_neigbour,0.3000,1462.0000,3415.0000,0.9691,0.0181,0.5776,0.0407,0.5825,0.0401
CiteSeer,mlp,forest_fire,0.3000,1462.0000,4450.8000,0.9545,0.0281,0.5308,0.0353,0.5212,0.0283
CiteSeer,mlp,random_node,0.1000,930.0000,740.8000,0.9411,0.0686,0.4262,0.0587,0.4304,0.0627
CiteSeer,mlp,random_degree,0.1000,930.0000,1151.6000,0.9155,0.1012,0.4019,0.0702,0.4141,0.0562
CiteSeer,mlp,random_pagerank,0.1000,930.0000,896.4000,0.8996,0.1007,0.3967,0.0676,0.3953,0.0709
CiteSeer,mlp,random_edge,0.1000,930.0000,1196.8000,0.9531,0.0801,0.4238,0.0357,0.4262,0.0551
CiteSeer,mlp,random_node_edge,0.1000,930.0000,1084.6000,0.8926,0.1034,0.3917,0.0650,0.3855,0.0787
CiteSeer,mlp,random_hybrid,0.1000,930.0000,1161.0000,0.9324,0.0773,0.4146,0.0673,0.4039,0.0496
CiteSeer,mlp,random_walk,0.1000,930.0000,1369.4000,0.9413,0.0547,0.3730,0.0649,0.3837,0.0543
CiteSeer,mlp,random_jump,0.1000,930.0000,1369.4000,0.9413,0.0547,0.3730,0.0649,0.3837,0.0543
CiteSeer,mlp,random_neigbour,0.1000,930.0000,1354.6000,0.8979,0.1190,0.3529,0.0601,0.3536,0.0574
CiteSeer,mlp,forest_fire,0.1000,930.0000,1953.4000,0.6800,0.3094,0.2386,0.1071,0.2445,0.1043
CiteSeer,mlp,random_node,0.0500,797.0000,555.2000,0.9887,0.0194,0.3600,0.0524,0.3656,0.0389
CiteSeer,mlp,random_degree,0.0500,797.0000,730.2000,0.9533,0.0693,0.3720,0.0579,0.3684,0.0740
CiteSeer,mlp,random_pagerank,0.0500,797.0000,625.4000,0.9862,0.0367,0.3850,0.0596,0.3822,0.0438
CiteSeer,mlp,random_edge,0.0500,797.0000,789.2000,0.9850,0.0328,0.3550,0.0594,0.3646,0.0594
CiteSeer,mlp,random_node_edge,0.0500,797.0000,736.2000,0.9962,0.0079,0.3471,0.0441,0.3666,0.0534
CiteSeer,mlp,random_hybrid,0.0500,797.0000,746.6000,0.9956,0.0110,0.3853,0.0750,0.3505,0.0709
CiteSeer,mlp,random_walk,0.0500,797.0000,889.8000,0.9704,0.0466,0.3220,0.0433,0.3252,0.0553
CiteSeer,mlp,random_jump,0.0500,797.0000,889.8000,0.9704,0.0466,0.3220,0.0433,0.3252,0.0553
CiteSeer,mlp,random_neigbour,0.0500,797.0000,860.2000,0.9762,0.0403,0.3294,0.0309,0.3259,0.0371
CiteSeer,mlp,forest_fire,0.0500,797.0000,1116.4000,0.7311,0.2550,0.2186,0.0750,0.2043,0.0741
CiteSeer,gcn,random_node,0.5000,1994.0000,3310.8000,0.6651,0.0598,0.6011,0.0551,0.6015,0.0537
CiteSeer,gcn,random_degree,0.5000,1994.0000,5218.8000,0.7396,0.0555,0.6338,0.0447,0.6418,0.0519
CiteSeer,gcn,random_pagerank,0.5000,1994.0000,4330.0000,0.7016,0.1098,0.6116,0.0938,0.6185,0.0971
CiteSeer,gcn,random_edge,0.5000,1994.0000,5247.8000,0.7268,0.0777,0.6185,0.0430,0.6308,0.0516
CiteSeer,gcn,random_node_edge,0.5000,1994.0000,4375.2000,0.6940,0.1090,0.6074,0.0818,0.6302,0.0847
CiteSeer,gcn,random_hybrid,0.5000,1994.0000,4742.8000,0.6972,0.0875,0.6117,0.0638,0.6203,0.0535
