dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
Computers,mlp,random_node,0.5000,8250.0000,176010.0000,0.9763,0.0066,0.8180,0.0159,0.8089,0.0115
Computers,mlp,random_degree,0.5000,8250.0000,337189.0000,0.9640,0.0142,0.8122,0.0102,0.8028,0.0148
Computers,mlp,random_pagerank,0.5000,8250.0000,290929.8000,0.9708,0.0120,0.8170,0.0096,0.8108,0.0094
Computers,mlp,random_edge,0.5000,8250.0000,284023.6000,0.9766,0.0115,0.8218,0.0058,0.8109,0.0079
Computers,mlp,random_node_edge,0.5000,8250.0000,249537.8000,0.9670,0.0100,0.8139,0.0115,0.8114,0.0130
Computers,mlp,random_hybrid,0.5000,8250.0000,267661.4000,0.9595,0.0149,0.8073,0.0126,0.8025,0.0088
Computers,mlp,random_walk,0.5000,8250.0000,298668.6000,0.9715,0.0102,0.8159,0.0125,0.8118,0.0097
Computers,mlp,random_jump,0.5000,8250.0000,298668.6000,0.9715,0.0102,0.8159,0.0125,0.8118,0.0097
Computers,mlp,random_neigbour,0.5000,8250.0000,338502.4000,0.9695,0.0116,0.8131,0.0143,0.8011,0.0110
Computers,mlp,forest_fire,0.5000,8250.0000,336943.8000,0.9694,0.0117,0.7933,0.0187,0.7857,0.0103
Computers,mlp,random_node,0.3000,6050.0000,93798.8000,0.9825,0.0067,0.7884,0.0172,0.7799,0.0136
Computers,mlp,random_degree,0.3000,6050.0000,217718.2000,0.9704,0.0127,0.7841,0.0113,0.7751,0.0121
Computers,mlp,random_pagerank,0.3000,6050.0000,177092.4000,0.9720,0.0121,0.7902,0.0160,0.7816,0.0095
Computers,mlp,random_edge,0.3000,6050.0000,201362.8000,0.9653,0.0166,0.7816,0.0085,0.7725,0.0139
Computers,mlp,random_node_edge,0.3000,6050.0000,148805.4000,0.9736,0.0099,0.7812,0.0179,0.7798,0.0175
Computers,mlp,random_hybrid,0.3000,6050.0000,163434.4000,0.9741,0.0084,0.7929,0.0170,0.7812,0.0116
Computers,mlp,random_walk,0.3000,6050.0000,185599.8000,0.9671,0.0171,0.7799,0.0261,0.7786,0.0220
Computers,mlp,random_jump,0.3000,6050.0000,185599.8000,0.9671,0.0171,0.7799,0.0261,0.7786,0.0220
Computers,mlp,random_neigbour,0.3000,6050.0000,225024.2000,0.9753,0.0101,0.7533,0.0222,0.7469,0.0157
Computers,mlp,forest_fire,0.3000,6050.0000,229747.0000,0.9547,0.0274,0.7154,0.0213,0.7120,0.0209
Computers,mlp,random_node,0.1000,3850.0000,38722.8000,0.7821,0.0781,0.6858,0.0260,0.6826,0.0271
Computers,mlp,random_degree,0.1000,3850.0000,84937.0000,0.8357,0.0943,0.6560,0.0453,0.6588,0.0385
Computers,mlp,random_pagerank,0.1000,3850.0000,69519.2000,0.8047,0.0940,0.6845,0.0415,0.6794,0.0334
Computers,mlp,random_edge,0.1000,3850.0000,77110.6000,0.8404,0.0846,0.6613,0.0322,0.6599,0.0305
