dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
Cora,mlp,random_node,0.5000,1623.0000,3761.8000,0.9824,0.0090,0.6741,0.0337,0.6727,0.0283
Cora,mlp,random_degree,0.5000,1623.0000,5540.0000,0.9797,0.0072,0.6538,0.0224,0.6669,0.0395
Cora,mlp,random_pagerank,0.5000,1623.0000,5049.6000,0.9797,0.0055,0.6518,0.0314,0.6573,0.0361
Cora,mlp,random_edge,0.5000,1623.0000,5561.8000,0.9782,0.0083,0.6763,0.0324,0.6765,0.0258
Cora,mlp,random_node_edge,0.5000,1623.0000,5025.2000,0.9811,0.0062,0.6473,0.0292,0.6615,0.0341
Cora,mlp,random_hybrid,0.5000,1623.0000,5159.8000,0.9794,0.0069,0.6704,0.0380,0.6625,0.0290
Cora,mlp,random_walk,0.5000,1623.0000,5695.8000,0.9802,0.0077,0.6671,0.0304,0.6655,0.0272
Cora,mlp,random_jump,0.5000,1623.0000,5695.8000,0.9802,0.0077,0.6671,0.0304,0.6655,0.0272
Cora,mlp,random_neigbour,0.5000,1623.0000,5731.0000,0.9827,0.0088,0.6586,0.0241,0.6506,0.0354
Cora,mlp,forest_fire,0.5000,1623.0000,6203.4000,0.9804,0.0043,0.6370,0.0255,0.6435,0.0184
Cora,mlp,random_node,0.3000,1190.0000,2005.4000,0.9879,0.0049,0.5982,0.0422,0.6064,0.0394
Cora,mlp,random_degree,0.3000,1190.0000,3228.2000,0.9823,0.0073,0.5969,0.0294,0.5927,0.0285
Cora,mlp,random_pagerank,0.3000,1190.0000,2867.2000,0.9869,0.0061,0.5942,0.0492,0.5825,0.0320
Cora,mlp,random_edge,0.3000,1190.0000,3125.2000,0.9809,0.0109,0.5905,0.0299,0.5929,0.0287
Cora,mlp,random_node_edge,0.3000,1190.0000,3043.2000,0.9852,0.0106,0.5816,0.0404,0.5819,0.0457
Cora,mlp,random_hybrid,0.3000,1190.0000,3104.2000,0.9795,0.0175,0.5691,0.0414,0.5653,0.0496
Cora,mlp,random_walk,0.3000,1190.0000,3566.4000,0.9872,0.0068,0.5814,0.0303,0.5767,0.0356
Cora,mlp,random_jump,0.3000,1190.0000,3566.4000,0.9872,0.0068,0.5814,0.0303,0.5767,0.0356
Cora,mlp,random_neigbour,0.3000,1190.0000,3488.8000,0.9814,0.0120,0.5572,0.0457,0.5561,0.0435
Cora,mlp,forest_fire,0.3000,1190.0000,3905.8000,0.9848,0.0082,0.5346,0.0296,0.5282,0.0339
Cora,mlp,random_node,0.1000,757.0000,797.0000,0.9831,0.0180,0.3858,0.0640,0.3789,0.0627
