dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
Photo,mlp,random_node,0.5000,4590.0000,84466.4000,0.9183,0.0603,0.8459,0.0198,0.8447,0.0263
Photo,mlp,random_degree,0.5000,4590.0000,154635.6000,0.9886,0.0072,0.8752,0.0151,0.8841,0.0130
Photo,mlp,random_pagerank,0.5000,4590.0000,134363.0000,0.9816,0.0183,0.8947,0.0134,0.8943,0.0084
Photo,mlp,random_edge,0.5000,4590.0000,129216.8000,0.9799,0.0274,0.8802,0.0136,0.8836,0.0143
Photo,mlp,random_node_edge,0.5000,4590.0000,116059.2000,0.9673,0.0446,0.8805,0.0253,0.8864,0.0208
Photo,mlp,random_hybrid,0.5000,4590.0000,123950.0000,0.9758,0.0326,0.8745,0.0118,0.8818,0.0238
Photo,mlp,random_walk,0.5000,4590.0000,137435.8000,0.9866,0.0076,0.8834,0.0122,0.8880,0.0109
Photo,mlp,random_jump,0.5000,4590.0000,137435.8000,0.9866,0.0076,0.8834,0.0122,0.8880,0.0109
Photo,mlp,random_neigbour,0.5000,4590.0000,155007.0000,0.9900,0.0071,0.8793,0.0160,0.8880,0.0136
Photo,mlp,forest_fire,0.5000,4590.0000,155309.0000,0.9935,0.0051,0.7949,0.0486,0.7977,0.0517
Photo,mlp,random_node,0.3000,3366.0000,45609.6000,0.8997,0.0546,0.8237,0.0246,0.8248,0.0264
Photo,mlp,random_degree,0.3000,3366.0000,95186.0000,0.9666,0.0370,0.8572,0.0179,0.8581,0.0206
Photo,mlp,random_pagerank,0.3000,3366.0000,79924.2000,0.9389,0.0535,0.8454,0.0224,0.8470,0.0280
Photo,mlp,random_edge,0.3000,3366.0000,88373.8000,0.9583,0.0472,0.8459,0.0254,0.8462,0.0284
Photo,mlp,random_node_edge,0.3000,3366.0000,67972.6000,0.9497,0.0484,0.8569,0.0234,0.8572,0.0217
Photo,mlp,random_hybrid,0.3000,3366.0000,73803.6000,0.9425,0.0525,0.8379,0.0173,0.8478,0.0166
Photo,mlp,random_walk,0.3000,3366.0000,82709.4000,0.9348,0.0504,0.8418,0.0289,0.8431,0.0305
Photo,mlp,random_jump,0.3000,3366.0000,82709.4000,0.9348,0.0504,0.8418,0.0289,0.8431,0.0305
Photo,mlp,random_neigbour,0.3000,3366.0000,98580.6000,0.9813,0.0167,0.8295,0.0200,0.8361,0.0247
Photo,mlp,forest_fire,0.3000,3366.0000,106433.4000,0.9759,0.0314,0.6747,0.0545,0.6809,0.0538
Photo,mlp,random_node,0.1000,2142.0000,18115.0000,0.9030,0.0612,0.7669,0.0295,0.7718,0.0376
Photo,mlp,random_degree,0.1000,2142.0000,36077.2000,0.9268,0.0379,0.7860,0.0188,0.7843,0.0303
Photo,mlp,random_pagerank,0.1000,2142.0000,30157.8000,0.8962,0.0423,0.7700,0.0302,0.7787,0.0278
Photo,mlp,random_edge,0.1000,2142.0000,32839.8000,0.9299,0.0432,0.7811,0.0274,0.7819,0.0304
Photo,mlp,random_node_edge,0.1000,2142.0000,27170.0000,0.9040,0.0485,0.7741,0.0216,0.7786,0.0245
Photo,mlp,random_hybrid,0.1000,2142.0000,29162.8000,0.9091,0.0442,0.7906,0.0259,0.7864,0.0214
Photo,mlp,random_walk,0.1000,2142.0000,31904.4000,0.9264,0.0477,0.7652,0.0249,0.7636,0.0332
Photo,mlp,random_jump,0.1000,2142.0000,31904.4000,0.9264,0.0477,0.7652,0.0249,0.7636,0.0332
Photo,mlp,random_neigbour,0.1000,2142.0000,39330.2000,0.9339,0.0265,0.6763,0.0672,0.6855,0.0629
Photo,mlp,forest_fire,0.1000,2142.0000,39418.2000,0.9260,0.0425,0.5054,0.0686,0.5104,0.0771
Photo,mlp,random_node,0.0500,1836.0000,13476.6000,0.9045,0.0709,0.7199,0.0337,0.7245,0.0446
Photo,mlp,random_degree,0.0500,1836.0000,21921.6000,0.8889,0.0441,0.7050,0.0257,0.7181,0.0311
Photo,mlp,random_pagerank,0.0500,1836.0000,19024.8000,0.8772,0.0682,0.7035,0.0508,0.7047,0.0571
Photo,mlp,random_edge,0.0500,1836.0000,20534.8000,0.9191,0.0619,0.7148,0.0493,0.7097,0.0555
Photo,mlp,random_node_edge,0.0500,1836.0000,18223.6000,0.9218,0.0511,0.7099,0.0528,0.7207,0.0454
Photo,mlp,random_hybrid,0.0500,1836.0000,19230.8000,0.8875,0.0831,0.7225,0.0478,0.7261,0.0562
Photo,mlp,random_walk,0.0500,1836.0000,20683.6000,0.9295,0.0474,0.7120,0.0498,0.7118,0.0458
Photo,mlp,random_jump,0.0500,1836.0000,20683.6000,0.9295,0.0474,0.7120,0.0498,0.7118,0.0458
Photo,mlp,random_neigbour,0.0500,1836.0000,23920.8000,0.9201,0.0447,0.5479,0.0705,0.5553,0.0783
Photo,mlp,forest_fire,0.0500,1836.0000,21790.2000,0.9506,0.0379,0.4227,0.1230,0.4236,0.1158
Photo,gcn,random_node,0.5000,4590.0000,85888.0000,0.9549,0.0284,0.9066,0.0213,0.9073,0.0222
Photo,gcn,random_degree,0.5000,4590.0000,154032.0000,0.9700,0.0135,0.9066,0.0215,0.8977,0.0258
Photo,gcn,random_pagerank,0.5000,4590.0000,133722.4000,0.9673,0.0206,0.9111,0.0227,0.9024,0.0287
Photo,gcn,random_edge,0.5000,4590.0000,127374.4000,0.9542,0.0282,0.8994,0.0318,0.8959,0.0356
Photo,gcn,random_node_edge,0.5000,4590.0000,116559.6000,0.9663,0.0265,0.9077,0.0308,0.9097,0.0246
