dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
Physics,mlp,random_node,0.5000,20695.0000,178304.2000,0.9437,0.0071,0.9325,0.0068,0.9333,0.0059
Physics,mlp,random_degree,0.5000,20695.0000,297853.8000,0.9617,0.0203,0.9340,0.0069,0.9339,0.0063
Physics,mlp,random_pagerank,0.5000,20695.0000,250018.4000,0.9515,0.0187,0.9344,0.0087,0.9342,0.0091
Physics,mlp,random_edge,0.5000,20695.0000,296879.6000,0.9540,0.0175,0.9291,0.0087,0.9309,0.0105
Physics,mlp,random_node_edge,0.5000,20695.0000,222221.6000,0.9456,0.0119,0.9331,0.0122,0.9332,0.0123
Physics,mlp,random_hybrid,0.5000,20695.0000,240785.6000,0.9566,0.0225,0.9344,0.0073,0.9346,0.0060
Physics,mlp,random_walk,0.5000,20695.0000,269136.0000,0.9491,0.0187,0.9278,0.0092,0.9303,0.0087
Physics,mlp,random_jump,0.5000,20695.0000,269136.0000,0.9491,0.0187,0.9278,0.0092,0.9303,0.0087
Physics,mlp,random_neigbour,0.5000,20695.0000,303275.0000,0.9566,0.0155,0.9324,0.0054,0.9325,0.0071
Physics,mlp,forest_fire,0.5000,20695.0000,310522.6000,0.9584,0.0216,0.9288,0.0080,0.9293,0.0061
Physics,mlp,random_node,0.3000,15176.0000,96108.8000,0.9478,0.0080,0.9306,0.0075,0.9317,0.0059
Physics,mlp,random_degree,0.3000,15176.0000,179654.2000,0.9506,0.0093,0.9209,0.0116,0.9233,0.0136
Physics,mlp,random_pagerank,0.3000,15176.0000,142035.2000,0.9476,0.0098,0.9291,0.0092,0.9292,0.0115
Physics,mlp,random_edge,0.3000,15176.0000,166216.4000,0.9531,0.0055,0.9250,0.0050,0.9269,0.0059
Physics,mlp,random_node_edge,0.3000,15176.0000,124316.6000,0.9507,0.0067,0.9328,0.0079,0.9335,0.0067
Physics,mlp,random_hybrid,0.3000,15176.0000,136370.2000,0.9516,0.0072,0.9303,0.0067,0.9319,0.0058
Physics,mlp,random_walk,0.3000,15176.0000,159715.2000,0.9518,0.0088,0.9262,0.0066,0.9298,0.0063
Physics,mlp,random_jump,0.3000,15176.0000,159715.2000,0.9518,0.0088,0.9262,0.0066,0.9298,0.0063
Physics,mlp,random_neigbour,0.3000,15176.0000,191144.6000,0.9568,0.0121,0.9247,0.0135,0.9261,0.0119
Physics,mlp,forest_fire,0.3000,15176.0000,207813.2000,0.9568,0.0098,0.9175,0.0067,0.9202,0.0093
Physics,mlp,random_node,0.1000,9657.0000,38710.2000,0.9630,0.0107,0.9202,0.0079,0.9205,0.0095
Physics,mlp,random_degree,0.1000,9657.0000,63412.0000,0.9658,0.0069,0.9172,0.0083,0.9181,0.0070
