dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
PubMed,mlp,random_node,0.5000,9858.0000,22107.8000,0.8665,0.0106,0.8448,0.0070,0.8471,0.0091
PubMed,mlp,random_degree,0.5000,9858.0000,45624.6000,0.8593,0.0159,0.8368,0.0100,0.8410,0.0118
PubMed,mlp,random_pagerank,0.5000,9858.0000,42236.8000,0.8582,0.0089,0.8381,0.0077,0.8407,0.0068
PubMed,mlp,random_edge,0.5000,9858.0000,44991.4000,0.8625,0.0134,0.8409,0.0088,0.8438,0.0120
PubMed,mlp,random_node_edge,0.5000,9858.0000,36212.4000,0.8587,0.0099,0.8396,0.0093,0.8395,0.0078
PubMed,mlp,random_hybrid,0.5000,9858.0000,39063.8000,0.8783,0.0326,0.8454,0.0191,0.8468,0.0113
PubMed,mlp,random_walk,0.5000,9858.0000,42475.8000,0.8767,0.0357,0.8479,0.0165,0.8461,0.0165
PubMed,mlp,random_jump,0.5000,9858.0000,42475.8000,0.8767,0.0357,0.8479,0.0165,0.8461,0.0165
PubMed,mlp,random_neigbour,0.5000,9858.0000,42951.0000,0.8607,0.0122,0.8412,0.0082,0.8414,0.0125
PubMed,mlp,forest_fire,0.5000,9858.0000,45203.8000,0.8568,0.0117,0.8363,0.0041,0.8399,0.0143
PubMed,mlp,random_node,0.3000,5915.0000,8073.8000,0.8556,0.0191,0.8367,0.0134,0.8366,0.0137
PubMed,mlp,random_degree,0.3000,5915.0000,29878.8000,0.8566,0.0309,0.8358,0.0186,0.8351,0.0205
PubMed,mlp,random_pagerank,0.3000,5915.0000,24753.4000,0.8517,0.0244,0.8311,0.0110,0.8317,0.0151
PubMed,mlp,random_edge,0.3000,5915.0000,21282.2000,0.8520,0.0094,0.8367,0.0115,0.8360,0.0112
PubMed,mlp,random_node_edge,0.3000,5915.0000,19237.8000,0.8617,0.0189,0.8414,0.0107,0.8407,0.0107
PubMed,mlp,random_hybrid,0.3000,5915.0000,22167.8000,0.8626,0.0269,0.8377,0.0164,0.8395,0.0147
PubMed,mlp,random_walk,0.3000,5915.0000,26260.4000,0.8486,0.0127,0.8303,0.0125,0.8314,0.0121
PubMed,mlp,random_jump,0.3000,5915.0000,26260.4000,0.8486,0.0127,0.8303,0.0125,0.8314,0.0121
PubMed,mlp,random_neigbour,0.3000,5915.0000,27398.8000,0.8548,0.0216,0.8331,0.0138,0.8343,0.0144
PubMed,mlp,forest_fire,0.3000,5915.0000,29925.2000,0.8483,0.0173,0.8296,0.0110,0.8311,0.0105
PubMed,mlp,random_node,0.1000,1972.0000,879.0000,0.8227,0.0125,0.8104,0.0095,0.8098,0.0162
PubMed,mlp,random_degree,0.1000,1972.0000,7029.6000,0.8220,0.0118,0.8139,0.0085,0.8034,0.0112
PubMed,mlp,random_pagerank,0.1000,1972.0000,4573.4000,0.8208,0.0087,0.8112,0.0120,0.8061,0.0122
PubMed,mlp,random_edge,0.1000,1972.0000,6353.0000,0.8188,0.0107,0.8098,0.0113,0.8099,0.0080
PubMed,mlp,random_node_edge,0.1000,1972.0000,4015.8000,0.8189,0.0153,0.8126,0.0148,0.8046,0.0152
