dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
ogbn_arxiv,mlp,random_node,0.5000,101605.0000,419284.0000,0.5936,0.0147,0.5332,0.0082,0.5361,0.0065
ogbn_arxiv,mlp,random_degree,0.5000,101605.0000,871468.4000,0.6304,0.0097,0.5242,0.0083,0.5271,0.0090
ogbn_arxiv,mlp,random_pagerank,0.5000,101605.0000,606379.0000,0.5969,0.0134,0.5352,0.0066,0.5361,0.0075
ogbn_arxiv,mlp,random_edge,0.5000,101605.0000,753825.6000,0.6241,0.0194,0.5265,0.0091,0.5287,0.0080
ogbn_arxiv,mlp,random_node_edge,0.5000,101605.0000,606799.6000,0.6010,0.0149,0.5372,0.0079,0.5384,0.0081
ogbn_arxiv,mlp,random_hybrid,0.5000,101605.0000,677220.2000,0.6003,0.0105,0.5329,0.0069,0.5336,0.0069
ogbn_arxiv,mlp,random_walk,0.5000,101605.0000,754318.1000,0.6020,0.0149,0.5252,0.0062,0.5275,0.0074
ogbn_arxiv,mlp,random_jump,0.5000,101605.0000,754318.1000,0.6020,0.0149,0.5252,0.0062,0.5275,0.0074
ogbn_arxiv,mlp,random_neigbour,0.5000,101605.0000,856845.3000,0.6238,0.0209,0.5213,0.0082,0.5227,0.0083
ogbn_arxiv,mlp,forest_fire,0.5000,101605.0000,858804.7000,0.6367,0.0189,0.5251,0.0091,0.5270,0.0081
ogbn_arxiv,mlp,random_node,0.3000,74510.0000,226345.9000,0.6212,0.0224,0.5237,0.0088,0.5243,0.0099
ogbn_arxiv,mlp,random_degree,0.3000,74510.0000,609664.6000,0.6673,0.0163,0.5069,0.0064,0.5075,0.0076
ogbn_arxiv,mlp,random_pagerank,0.3000,74510.0000,393495.0000,0.6103,0.0264,0.5175,0.0114,0.5202,0.0118
ogbn_arxiv,mlp,random_edge,0.3000,74510.0000,595324.5000,0.6604,0.0123,0.5030,0.0068,0.5059,0.0052
ogbn_arxiv,mlp,random_node_edge,0.3000,74510.0000,390001.6000,0.5976,0.0120,0.5125,0.0080,0.5162,0.0058
ogbn_arxiv,mlp,random_hybrid,0.3000,74510.0000,441786.0000,0.6194,0.0185,0.5177,0.0088,0.5194,0.0080
ogbn_arxiv,mlp,random_walk,0.3000,74510.0000,497907.4000,0.6353,0.0194,0.5124,0.0084,0.5156,0.0060
ogbn_arxiv,mlp,random_jump,0.3000,74510.0000,497907.4000,0.6353,0.0194,0.5124,0.0084,0.5156,0.0060
ogbn_arxiv,mlp,random_neigbour,0.3000,74510.0000,603057.2000,0.6598,0.0180,0.5036,0.0068,0.5042,0.0080
ogbn_arxiv,mlp,forest_fire,0.3000,74510.0000,634597.9000,0.6844,0.0184,0.4928,0.0110,0.4936,0.0112
ogbn_arxiv,mlp,random_node,0.1000,47415.0000,90683.3000,0.6668,0.0273,0.4784,0.0060,0.4813,0.0081
ogbn_arxiv,mlp,random_degree,0.1000,47415.0000,268816.0000,0.7383,0.0279,0.4573,0.0063,0.4599,0.0054
ogbn_arxiv,mlp,random_pagerank,0.1000,47415.0000,190293.1000,0.7010,0.0389,0.4813,0.0056,0.4822,0.0037
ogbn_arxiv,mlp,random_edge,0.1000,47415.0000,229270.0000,0.7338,0.0340,0.4560,0.0096,0.4588,0.0104
ogbn_arxiv,mlp,random_node_edge,0.1000,47415.0000,181157.5000,0.7033,0.0234,0.4801,0.0064,0.4829,0.0041
ogbn_arxiv,mlp,random_hybrid,0.1000,47415.0000,200013.6000,0.6968,0.0367,0.4771,0.0080,0.4789,0.0068
ogbn_arxiv,mlp,random_walk,0.1000,47415.0000,218116.3000,0.7096,0.0314,0.4707,0.0079,0.4738,0.0080
ogbn_arxiv,mlp,random_jump,0.1000,47415.0000,218116.3000,0.7096,0.0314,0.4707,0.0079,0.4738,0.0080
ogbn_arxiv,mlp,random_neigbour,0.1000,47415.0000,266841.9000,0.7513,0.0271,0.4533,0.0100,0.4547,0.0116
ogbn_arxiv,mlp,forest_fire,0.1000,47415.0000,290127.5000,0.7755,0.0328,0.3824,0.0173,0.3831,0.0150
ogbn_arxiv,mlp,random_node,0.0500,40642.0000,66162.6000,0.7378,0.0770,0.4571,0.0086,0.4598,0.0068
ogbn_arxiv,mlp,random_degree,0.0500,40642.0000,172449.4000,0.7856,0.0431,0.4278,0.0099,0.4298,0.0095
ogbn_arxiv,mlp,random_pagerank,0.0500,40642.0000,136535.5000,0.7786,0.0301,0.4502,0.0059,0.4523,0.0064
ogbn_arxiv,mlp,random_edge,0.0500,40642.0000,147853.3000,0.8160,0.0310,0.4316,0.0061,0.4327,0.0093
